user_k,handle_n,alias_n,bio_x,followers_t,statuses_t,favorites_t,friends_t,listed_t,verified_f,politician_f,media_f,location_x,language_n,timezone_n,created_y,created_s,user_c,russian_troll_f
101,tezaharov,????? ???????,"?????? ???????? ??????? ? ???, ????? ????????? ? ??????????? ??, ?? ??? ???? ???????????? ???? ? ??????????? ?????? ??????????.",2111,586,406,69,0,FALSE,,,"??????, ??????",russian,volgograd,3/16/2014,3/16/2014 16:04,2415525154,TRUE
102,valeyina_dm,????????? ?????????,?????? ????????????? ???? #??????????,2466,1312,354,811,1,FALSE,,,????????,russian,moscow,3/18/2014,3/18/2014 11:53,2419886435,TRUE
103,bogdankravcov,?????????????,?????? ? ????????? - ??? ?????????? ???????? ??? ?????????????.,2741,1619,908,1564,4,FALSE,,,?????-?????????,russian,baku,3/19/2014,3/19/2014 15:33,2422793627,TRUE
104,_sashalapin,??????? ?????,"? ??????? ???? ??????????? ?????...????????? ?????? ????? ??????? ?? ?????? ?????, ?? ? ??????. ?? ??????? ???? ???? ????????? ?????????",2219,1237,345,679,4,FALSE,,,,russian,volgograd,4/12/2014,4/12/2014 9:09,2478383999,TRUE
105,warfareww,warfare worldwide,political & military analyst,23876,2618,247,7481,565,FALSE,,,,english,st. petersburg,4/14/2014,4/14/2014 17:32,2484642526,TRUE
106,wadeharriot,wade harriot,"christian, husband, father, american, conservative, tea party, fisherman, gun owner, engineer, usn vet #bodylife #tcot #tgdn #2a #tpfa #cruzcrew #pjnet",1363,3089,4478,1040,25,FALSE,,,usa,english,eastern time (us & canada),5/12/2014,5/12/2014 7:50,2491081213,TRUE
107,jadonhutchinson,jadon hutchinson,"people often say that motivation doesn’t last. well, neither does bathing. that’s why we recommend it daily.",888,2139,2831,1234,28,FALSE,,,usa,english,eastern time (us & canada),5/13/2014,5/13/2014 13:09,2492948562,TRUE
108,kotovamarys,????? ??????,"?????? ???, ??? ?????????? ???? ????????.",4515,747,990,62,1,FALSE,,,"???????????, ??????",russian,volgograd,5/14/2014,5/14/2014 18:11,2494509505,TRUE
109,dailysanfran,san francisco daily,"follow for san francisco's breaking news, special reports, entertainment and more from @dailysanfran",16812,32546,1,5128,159,FALSE,FALSE,TRUE,"san francisco, ca",english,pacific time (us & canada),5/15/2014,5/15/2014 3:22,2495567768,TRUE
110,interfischer,jake fischer,"i believe in god, bible, country, 2nd amendment rights. i stand by israel, supporter of traditional marriage#rednationrising",1609,1033,494,1828,15,FALSE,,,united states,english,eastern time (us & canada),5/16/2014,5/16/2014 10:36,2498271878,TRUE
